name                             component                               version
723d27b4ea12b02f478ee65c4ecfcb97 opensearch-knn                          x.x.x.x
723d27b4ea12b02f478ee65c4ecfcb97 opensearch-ltr                          x.x.x.x-SNAPSHOT
723d27b4ea12b02f478ee65c4ecfcb97 opensearch-ml                           x.x.x.x
723d27b4ea12b02f478ee65c4ecfcb97 opensearch-neural-search                x.x.x.x
723d27b4ea12b02f478ee65c4ecfcb97 opensearch-notifications                x.x.x.x
723d27b4ea12b02f478ee65c4ecfcb97 opensearch-notifications-core           x.x.x.x
723d27b4ea12b02f478ee65c4ecfcb97 opensearch-observability                x.x.x.x
723d27b4ea12b02f478ee65c4ecfcb97 opensearch-reports-scheduler            x.x.x.x
723d27b4ea12b02f478ee65c4ecfcb97 opensearch-security                     x.x.x.x
723d27b4ea12b02f478ee65c4ecfcb97 opensearch-security-analytics           x.x.x.x
723d27b4ea12b02f478ee65c4ecfcb97 opensearch-skills                       x.x.x.x
723d27b4ea12b02f478ee65c4ecfcb97 opensearch-sql                          x.x.x.x
723d27b4ea12b02f478ee65c4ecfcb97 opensearch-system-templates             x.x.x.x
723d27b4ea12b02f478ee65c4ecfcb97 performance-analyzer                    x.x.x.x
723d27b4ea12b02f478ee65c4ecfcb97 query-insights                          x.x.x.x
723d27b4ea12b02f478ee65c4ecfcb97 repository-s3                           2.19.0
723d27b4ea12b02f478ee65c4ecfcb97 sifi-remediation-plugin                 x.x.x.x
723d27b4ea12b02f478ee65c4ecfcb97 telemetry-otel                          2.19.0
723d27b4ea12b02f478ee65c4ecfcb97 workload-management                     2.19.0
e5d1243647e28af34a9ba3b0c7e14863 analysis-icu                            2.19.0
e5d1243647e28af34a9ba3b0c7e14863 analysis-ik                             2.19.0
e5d1243647e28af34a9ba3b0c7e14863 analysis-kuromoji                       2.19.0
e5d1243647e28af34a9ba3b0c7e14863 analysis-phonetic                       2.19.0
e5d1243647e28af34a9ba3b0c7e14863 analysis-seunjeon                       2.19.0
e5d1243647e28af34a9ba3b0c7e14863 analysis-smartcn                        2.19.0
e5d1243647e28af34a9ba3b0c7e14863 analysis-stempel                        2.19.0
e5d1243647e28af34a9ba3b0c7e14863 analysis-thaichub2                      2.19.0
e5d1243647e28af34a9ba3b0c7e14863 analysis-ukrainian                      2.19.0
e5d1243647e28af34a9ba3b0c7e14863 aws-opensearch-admission-control-plugin 2.19.0
e5d1243647e28af34a9ba3b0c7e14863 aws-opensearch-coral-network-plugin     2.19.0
e5d1243647e28af34a9ba3b0c7e14863 aws-opensearch-network-core-plugin      2.19.0
e5d1243647e28af34a9ba3b0c7e14863 aws-opensearch-network-plugin           2.19.0
e5d1243647e28af34a9ba3b0c7e14863 aws-opensearch-network-security-plugin  2.19.0
e5d1243647e28af34a9ba3b0c7e14863 cache-ehcache                           2.19.0
e5d1243647e28af34a9ba3b0c7e14863 crypto-kms                              2.19.0
e5d1243647e28af34a9ba3b0c7e14863 discovery-ec2                           2.19.0
e5d1243647e28af34a9ba3b0c7e14863 elasticsearch-aes-iam                   2.16.0
e5d1243647e28af34a9ba3b0c7e14863 elasticsearch-aes-remote-reindex        2.19.0
e5d1243647e28af34a9ba3b0c7e14863 ingest-attachment                       2.19.0
e5d1243647e28af34a9ba3b0c7e14863 kraken                                  unspecified
e5d1243647e28af34a9ba3b0c7e14863 kraken-index-management-extension       x.x.x.x
e5d1243647e28af34a9ba3b0c7e14863 mapper-murmur3                          2.19.0
e5d1243647e28af34a9ba3b0c7e14863 mapper-size                             2.19.0
e5d1243647e28af34a9ba3b0c7e14863 opensearch-alerting                     x.x.x.x
e5d1243647e28af34a9ba3b0c7e14863 opensearch-analysis-sudachi             2.19.0
e5d1243647e28af34a9ba3b0c7e14863 opensearch-analysis-vietnamese          2.19.0
